SampleID	k__Bacteria|Other	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Cyanobacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Gemmatimonadetes	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__TM7	k__Bacteria|p__Tenericutes	k__Bacteria|p__Verrucomicrobia	k__Bacteria|p__WPS-2	k__Bacteria|p__[Thermi]
J160TKZ0.03	0.0	0.0933215225881	0.133220216336	0.0	0.754257482565	0.000224570508902	0.0	0.0	0.0147467967512	0.0	0.0	0.0	0.0	0.00422941125098	0.0	0.0
D160TL08.03	4.34398575173e-05	0.0665064218589	0.314041209945	0.0	0.594069011454	0.00212855301835	0.0	0.0	0.0231968839142	0.0	0.0	0.0	0.0	1.44799525058e-05	0.0	0.0
G160QY9R.03	0.0	0.081859006344	0.0971701475515	0.0	0.433145626916	0.00567396108062	0.0	0.0	0.379770475444	0.0	0.0	0.0	0.0	0.00238078266448	0.0	0.0
A160T94J.03	0.000156845522845	0.0481045218564	0.000470536568534	0.0	0.85918408959	0.0	0.0	0.0	0.0828458051665	0.0	0.0	0.0	0.0	0.00923820129554	0.0	0.0
C160SYJK.03	1.32952203683e-05	0.0522635112677	0.000983846307253	0.0	0.935398524231	0.0	0.0	0.0	0.0113408229741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160RXDT.03	0.0	0.0929263321807	0.251001854863	0.000698435961437	0.461551672811	1.14497698596e-05	0.0	0.0	0.187902173166	0.0	0.0	4.57990794385e-05	0.0	0.00586228216813	0.0	0.0
K160TL2F.03	0.0	0.0663968308646	0.0342748880468	0.0	0.877856240671	0.0	0.0	0.0	0.0201515673441	0.0	0.0	0.0	0.0	0.00132047307383	0.0	0.0
C160SW2B.03	1.61015038805e-05	0.0278395002093	0.259282516987	1.61015038805e-05	0.58780150066	0.0260361317747	0.0	0.0	0.099008147361	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160T2L7.03	0.000170609645132	0.105857597816	0.00214968152866	0.0	0.730232029117	0.0	0.0	0.0	0.161590081893	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160SZ50.03	0.0	0.0388736434215	0.16860874002	0.00241322724327	0.777596977261	0.00235806776342	0.0	0.0	0.0100114455921	0.0	0.0	0.0	0.0	0.000137898699615	0.0	0.0
K160SJSS.03	0.0	0.0142685824691	0.139465677674	0.000177663283662	0.704956805614	0.00196540007551	0.0	0.0	0.138555153346	0.0	0.0	0.0	0.0	0.000610717537587	0.0	0.0
D160TBMP.03	0.0	0.0199288528478	0.150996442642	0.000210381364036	0.623130474697	0.117928317332	0.0	0.0	0.0420188960716	0.0	0.045691007153	0.0	0.0	9.56278927438e-05	0.0	0.0
E160SYKG.03	1.33643385989e-05	0.0964237029909	0.0927618742148	0.0	0.78500788496	0.0	0.0	0.0	0.0257931734958	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160QYN5.03	0.000931428032447	0.00199254857574	1.17902282588e-05	0.0	0.713745048104	1.17902282588e-05	0.0	0.0	0.283071590266	0.0	0.0	0.0	0.000235804565176	0.0	0.0	0.0
G160SRKH.03	0.000150568395694	0.180546563276	0.0330949333735	0.0	0.735135135135	1.50568395694e-05	0.0	0.0	0.0510577429797	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160QX72.03	0.000164552622557	0.0254782310593	6.85635927323e-05	1.37127185465e-05	0.687308878985	0.0	0.0	0.0	0.286966061022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SRJG.03	3.35700018464e-05	0.0265874414623	0.000469980025849	0.0	0.844638031455	0.0	0.0	0.0	0.128270977055	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160W558.03	8.13876595961e-05	0.0232972175594	0.23023551554	0.0	0.604954473778	3.05203723485e-05	0.0	0.0	0.141390711633	0.0	0.0	0.0	1.01734574495e-05	0.0	0.0	0.0
B160QGVP.03	0.0105552130127	0.53260518512	0.000264247335506	0.0	0.304618456208	0.00584280219619	0.0	0.0	0.146114096127	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160S0BW.03	0.000464415891467	0.0703238245352	0.0081343147051	0.0	0.718071407462	0.00122436916841	0.0	0.0	0.201781668238	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160R9VS.03	4.11628505274e-05	0.118106508876	0.000216104965269	0.0	0.850002572678	0.0	0.0	0.0	0.0316336506303	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160QC64.03	0.00462031375154	0.381063551292	0.00863500498173	0.0	0.248148944068	0.00672045636587	0.0	0.0	0.350811729541	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160QX65.03	0.000339969827678	0.00976350848862	3.18721713448e-05	0.0	0.531415336889	0.0	0.0	0.0	0.458449312624	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160T95F.03	8.91140787514e-05	0.0719405227177	0.000445570393757	0.0	0.823057631348	0.0	0.0	0.0	0.0948555715395	0.0	0.0	0.0	0.0	0.00961158992247	0.0	0.0
A160QF7X.03	0.0124628871182	0.339114923779	0.0012674122493	0.0	0.371128818373	0.00167814770047	0.0	0.0	0.27434781078	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160QMJN.03	0.000170528828846	0.00942645470565	0.143566326241	0.0	0.502112662713	0.0112075335847	0.0	0.0	0.333516493927	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160QL7D.03	0.00042323970758	0.063768115942	0.0450942670258	0.0	0.725432858792	0.0121200461716	0.0	0.0	0.153161472361	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160T2M4.03	1.3199403387e-05	0.11726349969	0.0022306991724	0.0	0.848259658663	6.59970169348e-05	0.0	0.0	0.0320481514236	0.0	0.0	1.3199403387e-05	0.0	0.000105595227096	0.0	0.0
C160VFKP.03	6.11331020464e-05	0.0340205712888	0.0605981874035	0.0	0.794516360746	0.000519631367395	0.0	0.0	0.110284116092	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160WS9F.03	1.30182906984e-05	0.133671808891	0.141925405194	0.0	0.677393738202	0.0	0.0	0.0	0.0469960294213	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160SYDC.03	2.50522966693e-05	0.0539876993223	0.13967908008	0.0	0.553931331655	0.0	0.0	0.0	0.252376836646	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160W921.03	2.98886647239e-05	0.0578196219084	0.299925278338	0.0	0.550056041246	0.0	0.0	0.0	0.0921691698423	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160Q2CZ.03	0.000102785486689	0.00853119539521	0.0	0.0	0.391304347826	0.000205570973379	0.0	0.0	0.130023640662	0.0	0.0	0.0	0.469832459657	0.0	0.0	0.0
K160WS3N.03	0.0	0.035354505778	0.232247261947	2.74491504488e-05	0.685240591804	0.0	0.0	0.0	0.0468008015152	0.0	0.0	0.000329389805386	0.0	0.0	0.0	0.0
A160Q1FC.03	0.0	0.000655125538431	3.27562769216e-05	0.0	0.23089899602	0.0	0.0	0.0	0.764924578672	0.0	0.0	0.0	0.00348854349215	0.0	0.0	0.0
E160QT0M.03	0.000177378348016	0.0497053548552	0.0	0.0	0.769349021463	0.0	0.0	0.0	0.180768245334	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160R1LL.03	0.0	0.180707574959	0.203662935516	0.0	0.506154847912	0.0617448554567	0.0	0.0	0.0476264301882	0.0	0.0	0.0	0.0	0.00010335596829	0.0	0.0
K160RQGH.03	4.61573967228e-05	0.127809831526	0.187272097854	0.0	0.646930533118	0.0147357489038	0.0	0.0	0.0232056312024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160QPHJ.03	0.000101177452605	0.0231316951017	3.79415447268e-05	0.0	0.0825228597807	0.0	0.0	0.0	0.89420632612	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160QGRC.03	0.000106960451373	0.0359832785161	5.34802256866e-05	0.0	0.722401975203	0.0	0.0	0.0	0.241454305604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160QM2M.03	0.000120875135985	0.000148769398135	3.71923495337e-05	0.0	0.526950506281	0.0	0.0	0.0	0.472742656835	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160QSL1.03	0.000904685647734	0.000145581598486	0.0	0.0	0.719828213714	0.0	0.0	0.0	0.27912151904	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160Q7CX.03	0.000132744831248	0.00179205522185	5.53103463534e-05	0.0	0.611898361708	0.0	0.0	0.0	0.386121527893	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160QKDT.03	1.00306939234e-05	0.000672056492868	0.0	0.0	0.475996549441	0.0	0.0	0.0	0.523321363372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160QV3F.03	0.000230790788151	0.000609947082969	6.59402251859e-05	0.0	0.637402944231	8.24252814823e-06	0.0	0.0	0.361673892616	0.0	0.0	0.0	0.0	0.0	0.0	8.24252814823e-06
B160QSHB.03	0.0	0.0293739491643	0.25618491883	0.0	0.612218658604	0.0527148649985	0.0	0.0	0.0494934795202	0.0	0.0	0.0	0.0	1.41288836769e-05	0.0	0.0
A160Q97M.03	2.71127619771e-05	0.00729333297183	0.0108044356479	0.0	0.234186481577	0.0204565789117	0.0	0.0	0.72723205813	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160QPFQ.03	0.000533948182756	0.001286329713	0.00027910927735	0.0	0.32869364723	1.21351859717e-05	0.0	0.0	0.669182695225	0.0	0.0	0.0	0.0	0.0	0.0	1.21351859717e-05
G160Q69Y.03	0.0	8.35310234221e-06	0.0	0.0	0.477471682983	0.0	0.0	0.0	0.522519963915	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160QLY3.03	0.00039401573675	0.0501474574045	1.19398708106e-05	0.0	0.6999629864	0.0	0.0	0.0	0.249483600587	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160QV4B.03	0.000566666340996	0.10416890565	0.0	0.0	0.596299082587	0.0	0.0	0.0	0.298965345422	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160TFQB.03	0.000359219296728	0.0307065976611	0.0493061745806	0.0	0.431568723973	1.33044183973e-05	0.0	0.0	0.487806500539	0.0	0.0	0.000239479531152	0.0	0.0	0.0	0.0
D160SJDG.03	7.96305144131e-05	0.00249840738971	0.203844163083	0.0	0.168508122312	0.0	0.0	0.0	0.625059722886	0.0	0.0	0.0	9.95381430164e-06	0.0	0.0	0.0
G160QKHJ.03	0.000675971211579	0.0399618275081	0.0	0.0	0.617267750871	0.0	0.0	0.0	0.342094450409	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160SZ8D.03	0.0010027769207	0.0560320888615	0.0408207343413	0.0	0.749166923789	0.000323974082073	0.0	0.0	0.152591792657	0.0	6.17093489664e-05	0.0	0.0	0.0	0.0	0.0
K160SHMP.03	0.00302901799237	0.00023020536742	0.0	0.0	0.245435269886	0.0	0.0	0.0	0.751305506755	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160STV8.03	0.0	0.0338818161995	0.0763179523306	0.000100639058018	0.683926265117	0.0	0.0	0.0	0.205773327295	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160SWNP.03	1.05224391014e-05	0.0620823906982	0.0154890303572	0.0	0.849592255485	0.00166254537802	0.0	0.0	0.0711632556427	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SMD9.03	0.0	0.00437598278573	0.0043863278987	0.0	0.736023752379	0.0	0.0	0.0	0.255213936936	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160TWTF.03	0.0	0.0185844577711	0.00808970514743	0.00390429785107	0.617378810595	0.0	0.0	0.0	0.352042728636	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160SW51.03	0.0	0.130885573005	0.17377938255	0.0	0.593610881513	0.00223314627108	0.0	0.0	0.0994910166616	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160S7KJ.03	0.0	3.45833285301e-05	0.223800246694	0.0	0.776084475544	0.0	0.0	0.0	8.06944332369e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160TL1J.03	0.0	0.0614853762734	0.248241866579	0.0	0.63644429839	0.000197173841604	0.0	0.0	0.0536312849162	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160QF3F.03	0.000105616695887	0.0145962273716	4.22466783549e-05	0.0	0.636382839399	0.0	0.0	0.0	0.348873069855	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160QF9Z.03	0.00028525583883	0.098056694598	0.0	0.0	0.594342425863	0.0	0.0	0.0	0.3073156237	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160T0BD.03	1.6501650165e-05	0.0311716171617	0.101881188119	0.0	0.812607260726	0.0	0.0	0.0	0.0541584158416	0.0	0.0	0.0	0.0	0.0	0.0	0.00016501650165
B160ST6B.03	0.0	0.0279348792114	0.00123212410116	0.0	0.388927042094	0.0	0.0	0.0	0.581905954593	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160PY4H.03	0.0	2.14408233276e-05	0.0	0.0	0.999335334477	0.0	0.0	0.0	0.000557461406518	0.0	0.0	0.0	8.57632933105e-05	0.0	0.0	0.0
B160QC3F.03	0.0	0.000357057843371	2.64487291386e-05	0.0	0.999166865032	0.0	0.0	0.0	0.000436404030786	0.0	0.0	0.0	0.0	0.0	0.0	1.32243645693e-05
A160S92C.03	9.64115616745e-06	0.000106052717842	0.0020439251075	0.0	0.166926977883	0.0	0.0	0.0	0.830913403135	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160QC4B.03	2.47442067626e-05	0.000185581550719	0.0	0.0	0.808789142242	0.0	0.0	0.0	0.191000532	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160SFDH.03	9.84920861609e-06	0.00203878618353	0.00388058819474	0.0	0.343195674228	0.0	0.0	0.0	0.650875102186	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SDQY.03	0.000326477309827	0.473411303797	0.136409901865	0.0	0.348658562348	0.0	0.0	0.00132511378694	0.0398686408942	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160V0BQ.03	0.000107848272887	0.0700551566881	0.252565248205	0.0	0.660416602471	0.0	0.0	0.0	0.0168551443626	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160TL6L.03	6.42620422477e-05	0.164887220116	0.299433575999	0.0	0.472105683519	0.0	0.0	0.0	0.0635000780325	0.0	0.0	9.18029174967e-06	0.0	0.0	0.0	0.0
F160T8C2.03	8.22618724447e-06	0.664585441294	0.041723221704	0.0	0.266125383546	0.0	0.0	4.93571234668e-05	0.0275083701455	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160WTFN.03	0.0	0.0782277074031	0.344684846975	0.0	0.536938732489	0.00806807075372	0.0	0.0	0.0320231501888	0.0	0.0	0.0	0.0	5.74921906441e-05	0.0	0.0
K160WTJ4.03	3.13971742543e-05	0.096671899529	0.125965463108	0.0	0.70147566719	0.00274725274725	0.0	0.0	0.0730455259027	0.0	6.27943485086e-05	0.0	0.0	0.0	0.0	0.0
C160SRSL.03	9.25463194329e-06	0.637468302886	0.0627926777352	0.0	0.278906842875	9.25463194329e-06	0.0	0.00402576489533	0.0167786477132	0.0	0.0	9.25463194329e-06	0.0	0.0	0.0	0.0
E160V9S3.03	0.000244762091247	0.0809672997846	0.169889367535	0.0	0.738471705502	0.0	0.0	0.0	0.0104268650871	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160T48S.03	1.58383224049e-05	0.145110709874	0.101808736419	0.0	0.679495707815	3.16766448098e-05	0.0	1.58383224049e-05	0.0735214926035	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A160TTHK.03	2.57095845331e-05	0.115770259153	0.0584378856438	0.0	0.812011517894	0.0	0.0	0.0	0.0137546277252	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160S70P.03	1.2113576897e-05	0.142273960655	0.139972381045	0.0	0.678190716155	0.0	0.0	0.0	0.0395508285687	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160SZZN.03	0.000223555274042	0.200640858452	0.0518648235776	0.0	0.710104698387	0.0	0.0	0.0	0.0371474347032	0.0	1.86296061701e-05	0.0	0.0	0.0	0.0	0.0
